iter	Passed	Remaining
450	1069	1302
451	1072	1300
452	1075	1298
453	1077	1295
454	1078	1291
455	1080	1288
456	1081	1285
457	1083	1281
458	1084	1278
459	1086	1275
460	1090	1274
461	1091	1271
462	1093	1268
463	1094	1264
464	1096	1261
465	1097	1257
466	1098	1254
467	1100	1250
468	1103	1249
469	1105	1246
470	1106	1243
471	1108	1239
472	1109	1236
473	1110	1232
474	1112	1229
475	1113	1225
476	1114	1222
477	1116	1219
478	1118	1216
479	1120	1213
480	1121	1209
481	1122	1206
482	1124	1203
483	1125	1199
484	1126	1196
485	1128	1193
486	1129	1189
487	1131	1187
488	1134	1185
489	1135	1181
490	1136	1178
491	1138	1175
492	1139	1171
493	1140	1168
494	1142	1165
495	1143	1161
496	1144	1158
497	1147	1156
498	1149	1154
499	1150	1150
500	1152	1147
501	1153	1144
502	1154	1140
503	1155	1137
504	1157	1134
505	1158	1131
506	1160	1128
507	1161	1125
508	1163	1122
509	1164	1119
510	1166	1116
511	1168	1113
512	1169	1110
513	1171	1107
514	1172	1104
515	1173	1100
516	1176	1098
517	1177	1095
518	1179	1092
519	1180	1089
520	1182	1086
521	1184	1084
522	1185	1081
523	1186	1078
524	1188	1075
525	1190	1072
526	1191	1069
527	1193	1066
528	1194	1063
529	1196	1061
530	1198	1058
531	1199	1055
532	1200	1052
533	1202	1048
534	1203	1045
535	1207	1045
536	1209	1042
537	1210	1039
538	1212	1037
539	1214	1034
540	1215	1031
541	1217	1028
542	1220	1027
543	1222	1024
544	1223	1021
545	1225	1018
546	1226	1015
547	1227	1012
548	1229	1009
549	1230	1007
550	1232	1004
551	1234	1001
552	1236	999
553	1238	996
554	1239	993
555	1240	990
556	1242	987
557	1243	985
558	1244	982
559	1246	979
560	1247	976
561	1249	974
562	1251	971
563	1253	968
564	1254	965
565	1255	962
566	1256	959
567	1258	956
568	1259	954
569	1260	951
570	1262	948
571	1266	947
572	1267	944
573	1269	941
574	1270	938
575	1271	936
576	1273	933
577	1274	930
578	1275	927
579	1277	924
580	1279	922
581	1281	920
582	1282	917
583	1284	914
584	1286	912
585	1287	909
586	1288	906
587	1290	904
588	1291	901
589	1294	899
590	1295	896
591	1297	894
592	1298	891
593	1299	888
594	1301	885
595	1302	883
596	1304	880
597	1305	877
598	1306	874
599	1308	872
600	1310	870
601	1312	867
602	1313	864
603	1314	861
604	1316	859
605	1317	856
606	1318	853
607	1320	851
608	1321	848
609	1323	846
610	1325	843
611	1326	840
612	1327	838
613	1329	835
614	1330	832
615	1331	830
616	1333	827
617	1334	824
618	1336	822
619	1338	820
620	1340	817
621	1341	815
622	1342	812
623	1344	809
624	1345	807
625	1346	804
626	1348	802
627	1350	799
628	1352	797
629	1353	795
630	1354	792
631	1356	789
632	1357	787
633	1358	784
634	1360	781
635	1361	779
636	1363	776
637	1365	774
638	1367	772
639	1369	770
640	1370	767
641	1371	764
642	1373	762
643	1374	759
644	1375	757
645	1377	754
646	1378	752
647	1380	750
648	1382	747
649	1383	745
650	1385	742
651	1387	740
652	1388	738
653	1390	735
654	1391	732
655	1392	730
656	1395	728
657	1397	726
658	1398	723
659	1399	721
660	1401	718
661	1402	716
662	1403	713
663	1405	711
664	1406	708
665	1407	706
666	1410	704
667	1412	701
668	1413	699
669	1414	696
670	1416	694
671	1418	692
672	1419	689
673	1420	687
674	1422	684
675	1424	682
676	1426	680
677	1427	678
678	1429	675
679	1430	673
680	1431	670
681	1433	668
682	1434	665
683	1436	663
684	1437	660
685	1439	658
686	1441	656
687	1442	654
688	1444	651
689	1445	649
690	1446	647
691	1448	644
692	1449	642
693	1450	639
694	1453	637
695	1455	635
696	1456	633
697	1457	630
698	1459	628
699	1460	626
700	1461	623
701	1463	621
702	1464	618
703	1465	616
704	1468	614
705	1470	612
706	1471	610
707	1473	607
708	1474	605
709	1476	602
710	1477	600
711	1478	598
712	1480	595
713	1481	593
714	1483	591
715	1485	589
716	1486	586
717	1487	584
718	1489	582
719	1491	580
720	1493	577
721	1494	575
722	1496	573
723	1498	571
724	1500	568
725	1501	566
726	1502	564
727	1504	561
728	1505	559
729	1506	557
730	1508	555
731	1509	552
732	1510	550
733	1513	548
734	1514	546
735	1516	543
736	1517	541
737	1519	539
738	1520	537
739	1522	534
740	1523	532
741	1524	530
742	1527	528
743	1529	526
744	1530	523
745	1531	521
746	1533	519
747	1534	517
748	1535	514
749	1537	512
750	1538	510
751	1540	507
752	1542	505
753	1543	503
754	1545	501
755	1546	499
756	1547	496
757	1549	494
758	1550	492
759	1552	490
760	1553	487
761	1555	485
762	1558	483
763	1559	481
764	1561	479
765	1563	477
766	1565	475
767	1567	473
768	1571	471
769	1574	470
770	1576	468
771	1578	466
772	1579	463
773	1581	461
774	1583	459
775	1586	457
776	1588	455
777	1590	453
778	1591	451
779	1593	449
780	1595	447
781	1596	445
782	1598	442
783	1600	441
784	1602	439
785	1604	436
786	1605	434
787	1607	432
788	1608	430
789	1609	427
790	1611	425
791	1612	423
792	1614	421
793	1616	419
794	1618	417
795	1619	415
796	1620	412
797	1622	410
798	1623	408
799	1624	406
800	1626	404
801	1627	401
802	1629	399
803	1631	397
804	1632	395
805	1634	393
806	1635	391
807	1637	388
808	1638	386
809	1639	384
810	1640	382
811	1642	380
812	1644	378
813	1646	376
814	1648	374
815	1649	371
816	1650	369
817	1652	367
818	1653	365
819	1654	363
820	1656	361
821	1657	358
822	1660	357
823	1662	355
824	1663	352
825	1664	350
826	1666	348
827	1667	346
828	1669	344
829	1670	342
830	1671	340
831	1674	338
832	1676	336
833	1677	333
834	1679	331
835	1680	329
836	1682	327
837	1683	325
838	1684	323
839	1686	321
840	1687	319
841	1689	317
842	1691	314
843	1692	312
844	1694	310
845	1696	308
846	1697	306
847	1698	304
848	1700	302
849	1701	300
850	1705	298
851	1707	296
852	1708	294
853	1710	292
854	1711	290
855	1712	288
856	1714	286
857	1715	283
858	1716	281
859	1718	279
860	1720	277
861	1722	275
862	1723	273
863	1724	271
864	1726	269
865	1727	267
866	1728	265
867	1730	263
868	1732	261
869	1734	259
870	1736	257
871	1737	255
872	1738	252
873	1740	250
874	1741	248
875	1742	246
876	1744	244
877	1745	242
878	1748	240
879	1749	238
880	1751	236
881	1753	234
882	1754	232
883	1755	230
884	1757	228
885	1758	226
886	1759	224
887	1761	222
888	1763	220
889	1764	218
890	1766	216
891	1768	214
892	1769	212
893	1771	209
894	1772	207
895	1773	205
896	1775	203
897	1777	201
898	1778	199
899	1780	197
900	1781	195
901	1783	193
902	1785	191
903	1786	189
904	1788	187
905	1789	185
906	1791	183
907	1793	181
908	1794	179
909	1796	177
910	1798	175
911	1799	173
912	1801	171
913	1803	169
914	1806	167
915	1807	165
916	1809	163
917	1810	161
918	1811	159
919	1813	157
920	1815	155
921	1816	153
922	1818	151
923	1820	149
924	1821	147
925	1823	145
926	1825	143
927	1826	141
928	1828	139
929	1829	137
930	1830	135
931	1832	133
932	1834	131
933	1836	129
934	1838	127
935	1839	125
936	1841	123
937	1842	121
938	1843	119
939	1845	117
940	1846	115
941	1847	113
942	1851	111
943	1852	109
944	1854	107
945	1856	105
946	1857	103
947	1858	101
948	1860	99
949	1862	98
950	1865	96
951	1866	94
952	1868	92
953	1870	90
954	1871	88
955	1872	86
956	1874	84
957	1876	82
958	1877	80
959	1880	78
960	1881	76
961	1883	74
962	1884	72
963	1887	70
964	1888	68
965	1889	66
966	1891	64
967	1892	62
968	1894	60
969	1897	58
970	1899	56
971	1900	54
972	1902	52
973	1903	50
974	1905	48
975	1907	46
976	1911	45
977	1913	43
978	1915	41
979	1916	39
980	1918	37
981	1920	35
982	1922	33
983	1924	31
984	1926	29
985	1927	27
986	1929	25
987	1931	23
988	1932	21
989	1936	19
990	1941	17
991	1943	15
992	1947	13
993	1948	11
994	1950	9
995	1951	7
996	1953	5
997	1955	3
998	1956	1
999	1959	0
